state_history,actions
"[[33.0, -3.0], [33.0, -4.0], [32.0, -4.0], [32.0, -5.0]]","[1.9999999980073884, 0.0]"
"[[33.0, -4.0], [32.0, -4.0], [32.0, -5.0], [32.0, -6.0]]","[1.9999999989672734, 0.0]"
"[[32.0, -4.0], [32.0, -5.0], [32.0, -6.0], [31.0, -7.0]]","[1.999999875710317, 0.0]"
"[[32.0, -5.0], [32.0, -6.0], [31.0, -7.0], [31.0, -8.0]]","[1.999999909136178, 0.0]"
"[[32.0, -6.0], [31.0, -7.0], [31.0, -8.0], [31.0, -9.0]]","[1.9999999966477064, 0.0]"
"[[31.0, -7.0], [31.0, -8.0], [31.0, -9.0], [30.0, -10.0]]","[1.9999999991040665, 0.0]"
"[[31.0, -8.0], [31.0, -9.0], [30.0, -10.0], [30.0, -10.0]]","[1.9999999999101852, 0.0]"
"[[31.0, -9.0], [30.0, -10.0], [30.0, -10.0], [30.0, -11.0]]","[-23.526999999999997, 1.9999999999086113]"
"[[30.0, -10.0], [30.0, -10.0], [30.0, -11.0], [29.0, -12.0]]","[-91.0, -70.0]"
"[[30.0, -10.0], [30.0, -11.0], [29.0, -12.0], [29.0, -12.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [40.0, -10.0]]","[1.9999999964013984, 0.0]"
"[[None, None], [None, None], [40.0, -10.0], [39.0, -9.0]]","[1.9999999989286703, 0.0]"
"[[None, None], [40.0, -10.0], [39.0, -9.0], [39.0, -8.0]]","[1.99999999898554, 0.0]"
"[[40.0, -10.0], [39.0, -9.0], [39.0, -8.0], [39.0, -8.0]]","[1.9999999990761474, 0.0]"
"[[39.0, -9.0], [39.0, -8.0], [39.0, -8.0], [38.0, -8.0]]","[1.9999999996223554, 0.0]"
"[[39.0, -8.0], [39.0, -8.0], [38.0, -8.0], [38.0, -7.0]]","[1.9999999996044213, 0.0]"
"[[39.0, -8.0], [38.0, -8.0], [38.0, -7.0], [38.0, -7.0]]","[1.9999999993244488, 0.0]"
"[[38.0, -8.0], [38.0, -7.0], [38.0, -7.0], [37.0, -7.0]]","[1.9999999988395547, 0.0]"
"[[38.0, -7.0], [38.0, -7.0], [37.0, -7.0], [37.0, -7.0]]","[1.9999999973401201, 0.0]"
"[[38.0, -7.0], [37.0, -7.0], [37.0, -7.0], [37.0, -7.0]]","[1.999999996892821, 0.0]"
"[[37.0, -7.0], [37.0, -7.0], [37.0, -7.0], [36.0, -7.0]]","[1.9999999946355724, 0.0]"
"[[37.0, -7.0], [37.0, -7.0], [36.0, -7.0], [36.0, -7.0]]","[1.9999999927336396, 0.0]"
"[[37.0, -7.0], [36.0, -7.0], [36.0, -7.0], [36.0, -7.0]]","[1.9999999995236275, 0.0]"
"[[36.0, -7.0], [36.0, -7.0], [36.0, -7.0], [35.0, -8.0]]","[1.9999999991623105, 0.0]"
"[[36.0, -7.0], [36.0, -7.0], [35.0, -8.0], [35.0, -8.0]]","[1.9999999987332022, 0.0]"
"[[36.0, -7.0], [35.0, -8.0], [35.0, -8.0], [35.0, -8.0]]","[1.9999999985980972, 0.0]"
"[[35.0, -8.0], [35.0, -8.0], [35.0, -8.0], [34.0, -9.0]]","[1.9999999987803818, 0.0]"
"[[35.0, -8.0], [35.0, -8.0], [34.0, -9.0], [34.0, -10.0]]","[1.999999998957164, 0.0]"
"[[35.0, -8.0], [34.0, -9.0], [34.0, -10.0], [34.0, -10.0]]","[1.9999999987123709, 0.0]"
"[[34.0, -9.0], [34.0, -10.0], [34.0, -10.0], [33.0, -11.0]]","[1.999999998312326, 0.0]"
"[[34.0, -10.0], [34.0, -10.0], [33.0, -11.0], [33.0, -12.0]]","[1.9999999779746171, 0.0]"
"[[34.0, -10.0], [33.0, -11.0], [33.0, -12.0], [33.0, -13.0]]","[1.9999999409393738, 0.0]"
"[[33.0, -11.0], [33.0, -12.0], [33.0, -13.0], [32.0, -14.0]]","[1.999999963307248, 0.0]"
"[[33.0, -12.0], [33.0, -13.0], [32.0, -14.0], [32.0, -15.0]]","[1.9999997293415763, 0.0]"
"[[33.0, -13.0], [32.0, -14.0], [32.0, -15.0], [32.0, -15.0]]","[1.9999990290011531, 0.0]"
"[[32.0, -14.0], [32.0, -15.0], [32.0, -15.0], [31.0, -16.0]]","[1.999999621633622, 0.0]"
"[[32.0, -15.0], [32.0, -15.0], [31.0, -16.0], [31.0, -17.0]]","[1.9999999070508045, 0.0]"
"[[32.0, -15.0], [31.0, -16.0], [31.0, -17.0], [31.0, -18.0]]","[1.9999999991923807, 0.0]"
"[[31.0, -16.0], [31.0, -17.0], [31.0, -18.0], [30.0, -19.0]]","[1.9999999085194489, 0.0]"
"[[31.0, -17.0], [31.0, -18.0], [30.0, -19.0], [30.0, -20.0]]","[1.9999999958247736, 0.0]"
"[[31.0, -18.0], [30.0, -19.0], [30.0, -20.0], [30.0, -20.0]]","[-23.526999999999997, 1.9999999843078573]"
"[[30.0, -19.0], [30.0, -20.0], [30.0, -20.0], [29.0, -21.0]]","[-91.0, -70.0]"
"[[30.0, -20.0], [30.0, -20.0], [29.0, -21.0], [29.0, -21.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [40.0, -9.0], [39.0, -9.0]]","[1.9999999976660914, 0.0]"
"[[None, None], [40.0, -9.0], [39.0, -9.0], [39.0, -8.0]]","[1.9999999976993956, 0.0]"
